시군구,연료별,용도별,승용,승합,화물,특수,데이터기준일자
서울특별시 광진구,CNG,비사업용,15,1,13,0,2019-06-30
서울특별시 광진구,CNG,사업용,0,42,0,0,2019-06-30
서울특별시 광진구,경유,비사업용,"23,661","2,441","9,935",37,2019-06-30
서울특별시 광진구,경유,사업용,412,289,"1,283",181,2019-06-30
서울특별시 광진구,기타연료,비사업용,0,39,95,0,2019-06-30
서울특별시 광진구,기타연료,사업용,0,0,4,0,2019-06-30
서울특별시 광진구,수소,비사업용,1,0,0,0,2019-06-30
서울특별시 광진구,수소,사업용,1,0,0,0,2019-06-30
서울특별시 광진구,엘피지,비사업용,"4,734",542,752,1,2019-06-30
서울특별시 광진구,엘피지,사업용,"2,310",35,249,60,2019-06-30
서울특별시 광진구,전기,비사업용,153,0,0,0,2019-06-30
서울특별시 광진구,전기,사업용,4,0,0,0,2019-06-30
서울특별시 광진구,하이브리드(LPG+전기),비사업용,60,0,0,0,2019-06-30
서울특별시 광진구,하이브리드(휘발유+전기),비사업용,"2,216",0,0,0,2019-06-30
서울특별시 광진구,하이브리드(휘발유+전기),사업용,20,0,0,0,2019-06-30
서울특별시 광진구,휘발유,비사업용,"20,683",9,24,0,2019-06-30
서울특별시 광진구,휘발유,사업용,236,1,0,0,2019-06-30
서울특별시 광진구,휘발유(무연),비사업용,"28,541",23,25,0,2019-06-30
서울특별시 광진구,휘발유(무연),사업용,369,0,0,0,2019-06-30
서울특별시 광진구,휘발유(유연),비사업용,42,0,0,0,2019-06-30
