시군구,연료별,용도별,승용,승합,화물,특수,데이터기준일자
서울특별시 성동구,CNG,비사업용,17,4,16,0,2019-07-19
서울특별시 성동구,CNG,사업용,0,455,0,0,2019-07-19
서울특별시 성동구,경유,비사업용,"25,511","2,269","8,538",74,2019-07-19
서울특별시 성동구,경유,사업용,992,"1,811","1,370",106,2019-07-19
서울특별시 성동구,기타연료,비사업용,2,61,87,2,2019-07-19
서울특별시 성동구,기타연료,사업용,0,0,5,0,2019-07-19
서울특별시 성동구,수소,비사업용,4,0,0,0,2019-07-19
서울특별시 성동구,엘피지,비사업용,"4,350",497,791,0,2019-07-19
서울특별시 성동구,엘피지,사업용,"2,940",26,252,0,2019-07-19
서울특별시 성동구,전기,비사업용,227,0,2,0,2019-07-19
서울특별시 성동구,전기,사업용,296,0,0,0,2019-07-19
서울특별시 성동구,하이브리드(LPG+전기),비사업용,58,0,0,0,2019-07-19
서울특별시 성동구,하이브리드(LPG+전기),사업용,10,0,0,0,2019-07-19
서울특별시 성동구,하이브리드(휘발유+전기),비사업용,"2,577",0,0,0,2019-07-19
서울특별시 성동구,하이브리드(휘발유+전기),사업용,21,0,0,0,2019-07-19
서울특별시 성동구,휘발유,비사업용,"22,024",7,30,0,2019-07-19
서울특별시 성동구,휘발유,사업용,367,8,0,0,2019-07-19
서울특별시 성동구,휘발유(무연),비사업용,"27,802",17,6,0,2019-07-19
서울특별시 성동구,휘발유(무연),사업용,"2,399",0,0,0,2019-07-19
서울특별시 성동구,휘발유(유연),비사업용,42,0,0,0,2019-07-19
