통계기준월,시군구,연료별,용도별,승    용,승    합,화    물,특    수,계
200901,서울특별시 양천구,계,계,"115,661","9,378","18,336",395,"143,770"
200901,서울특별시 양천구,CNG,비사업용,3,0,6,0,9
200901,서울특별시 양천구,CNG,사업용,0,434,0,0,434
200901,서울특별시 양천구,경유,비사업용,"20,343","4,707","12,831",79,"37,960"
200901,서울특별시 양천구,경유,사업용,21,404,"2,239",311,"2,975"
200901,서울특별시 양천구,기타연료,비사업용,3,4,15,2,24
200901,서울특별시 양천구,기타연료,사업용,0,0,135,0,135
200901,서울특별시 양천구,엘피지,비사업용,"10,292","3,734","2,642",2,"16,670"
200901,서울특별시 양천구,엘피지,사업용,"4,849",3,384,0,"5,236"
200901,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,22,0,0,0,22
200901,서울특별시 양천구,휘발유,비사업용,"25,282",21,20,0,"25,323"
200901,서울특별시 양천구,휘발유,사업용,37,0,0,0,37
200901,서울특별시 양천구,휘발유(무연),비사업용,"54,762",71,61,1,"54,895"
200901,서울특별시 양천구,휘발유(무연),사업용,45,0,3,0,48
200901,서울특별시 양천구,휘발유(유연),비사업용,2,0,0,0,2
200902,서울특별시 양천구,계,계,"115,704","9,344","18,259",392,"143,699"
200902,서울특별시 양천구,CNG,비사업용,0,0,6,0,6
200902,서울특별시 양천구,CNG,사업용,0,435,0,0,435
200902,서울특별시 양천구,경유,비사업용,"20,364","4,697","12,746",78,"37,885"
200902,서울특별시 양천구,경유,사업용,23,401,"2,244",310,"2,978"
200902,서울특별시 양천구,기타연료,비사업용,3,4,15,2,24
200902,서울특별시 양천구,기타연료,사업용,0,0,135,0,135
200902,서울특별시 양천구,엘피지,비사업용,"10,315","3,712","2,647",1,"16,675"
200902,서울특별시 양천구,엘피지,사업용,"4,826",3,385,0,"5,214"
200902,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,22,0,0,0,22
200902,서울특별시 양천구,휘발유,비사업용,"25,532",21,19,0,"25,572"
200902,서울특별시 양천구,휘발유,사업용,52,0,0,0,52
200902,서울특별시 양천구,휘발유(무연),비사업용,"54,519",71,60,1,"54,651"
200902,서울특별시 양천구,휘발유(무연),사업용,45,0,2,0,47
200902,서울특별시 양천구,휘발유(유연),비사업용,3,0,0,0,3
200903,서울특별시 양천구,계,계,"116,170","9,322","18,251",388,"144,131"
200903,서울특별시 양천구,CNG,비사업용,0,0,6,0,6
200903,서울특별시 양천구,CNG,사업용,0,435,0,0,435
200903,서울특별시 양천구,경유,비사업용,"20,540","4,665","12,685",78,"37,968"
200903,서울특별시 양천구,경유,사업용,23,400,"2,294",306,"3,023"
200903,서울특별시 양천구,기타연료,비사업용,3,4,17,2,26
200903,서울특별시 양천구,기타연료,사업용,0,0,130,0,130
200903,서울특별시 양천구,엘피지,비사업용,"10,673","3,724","2,663",1,"17,061"
200903,서울특별시 양천구,엘피지,사업용,"4,824",2,376,0,"5,202"
200903,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,25,0,0,0,25
200903,서울특별시 양천구,휘발유,비사업용,"25,834",21,19,0,"25,874"
200903,서울특별시 양천구,휘발유,사업용,47,0,0,0,47
200903,서울특별시 양천구,휘발유(무연),비사업용,"54,155",71,59,1,"54,286"
200903,서울특별시 양천구,휘발유(무연),사업용,43,0,2,0,45
200903,서울특별시 양천구,휘발유(유연),비사업용,3,0,0,0,3
200904,서울특별시 양천구,계,계,"116,858","9,312","18,240",391,"144,801"
200904,서울특별시 양천구,CNG,비사업용,0,0,6,0,6
200904,서울특별시 양천구,CNG,사업용,0,451,0,0,451
200904,서울특별시 양천구,경유,비사업용,"20,378","4,630","12,664",83,"37,755"
200904,서울특별시 양천구,경유,사업용,23,377,"2,287",304,"2,991"
200904,서울특별시 양천구,기타연료,비사업용,3,4,18,2,27
200904,서울특별시 양천구,기타연료,사업용,0,0,129,0,129
200904,서울특별시 양천구,엘피지,비사업용,"11,014","3,756","2,676",1,"17,447"
200904,서울특별시 양천구,엘피지,사업용,"4,960",3,379,0,"5,342"
200904,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,25,0,0,0,25
200904,서울특별시 양천구,휘발유,비사업용,"26,097",20,20,0,"26,137"
200904,서울특별시 양천구,휘발유,사업용,47,0,0,0,47
200904,서울특별시 양천구,휘발유(무연),비사업용,"54,266",71,59,1,"54,397"
200904,서울특별시 양천구,휘발유(무연),사업용,42,0,2,0,44
200904,서울특별시 양천구,휘발유(유연),비사업용,3,0,0,0,3
200905,서울특별시 양천구,계,계,"117,230","9,297","18,240",389,"145,156"
200905,서울특별시 양천구,CNG,비사업용,0,0,6,0,6
200905,서울특별시 양천구,CNG,사업용,0,456,0,0,456
200905,서울특별시 양천구,경유,비사업용,"20,486","4,632","12,701",84,"37,903"
200905,서울특별시 양천구,경유,사업용,20,370,"2,270",301,"2,961"
200905,서울특별시 양천구,기타연료,비사업용,3,3,17,2,25
200905,서울특별시 양천구,기타연료,사업용,0,0,130,0,130
200905,서울특별시 양천구,엘피지,비사업용,"11,072","3,738","2,654",1,"17,465"
200905,서울특별시 양천구,엘피지,사업용,"4,922",5,383,0,"5,310"
200905,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,26,0,0,0,26
200905,서울특별시 양천구,휘발유,비사업용,"26,673",21,20,0,"26,714"
200905,서울특별시 양천구,휘발유,사업용,63,0,0,0,63
200905,서울특별시 양천구,휘발유(무연),비사업용,"53,955",72,57,1,"54,085"
200905,서울특별시 양천구,휘발유(무연),사업용,7,0,2,0,9
200905,서울특별시 양천구,휘발유(유연),비사업용,3,0,0,0,3
200906,서울특별시 양천구,계,계,"117,536","9,254","18,227",390,"145,407"
200906,서울특별시 양천구,CNG,비사업용,0,0,9,0,9
200906,서울특별시 양천구,CNG,사업용,0,495,0,0,495
200906,서울특별시 양천구,경유,비사업용,"20,656","4,575","12,634",86,"37,951"
200906,서울특별시 양천구,경유,사업용,20,338,"2,269",301,"2,928"
200906,서울특별시 양천구,기타연료,비사업용,3,3,15,2,23
200906,서울특별시 양천구,기타연료,사업용,0,0,121,0,121
200906,서울특별시 양천구,엘피지,비사업용,"11,114","3,748","2,713",0,"17,575"
200906,서울특별시 양천구,엘피지,사업용,"4,922",5,388,0,"5,315"
200906,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,26,0,0,0,26
200906,서울특별시 양천구,휘발유,비사업용,"27,218",20,20,0,"27,258"
200906,서울특별시 양천구,휘발유,사업용,24,0,0,0,24
200906,서울특별시 양천구,휘발유(무연),비사업용,"53,543",70,56,1,"53,670"
200906,서울특별시 양천구,휘발유(무연),사업용,7,0,2,0,9
200906,서울특별시 양천구,휘발유(유연),비사업용,3,0,0,0,3
200907,서울특별시 양천구,계,계,"117,801","9,202","18,151",392,"145,546"
200907,서울특별시 양천구,CNG,비사업용,0,0,9,0,9
200907,서울특별시 양천구,CNG,사업용,0,502,0,0,502
200907,서울특별시 양천구,경유,비사업용,"20,692","4,526","12,547",89,"37,854"
200907,서울특별시 양천구,경유,사업용,32,339,"2,259",300,"2,930"
200907,서울특별시 양천구,기타연료,비사업용,3,3,14,2,22
200907,서울특별시 양천구,기타연료,사업용,0,0,120,0,120
200907,서울특별시 양천구,엘피지,비사업용,"11,115","3,736","2,739",0,"17,590"
200907,서울특별시 양천구,엘피지,사업용,"4,972",5,386,0,"5,363"
