년도,구분,사업ㆍ비사업,서울특별시 송파구 잠실동(CNG),서울특별시 송파구 잠실동(경유),서울특별시 송파구 잠실동(기타연료),서울특별시 송파구 잠실동(수소),서울특별시 송파구 잠실동(엘피지),서울특별시 송파구 잠실동(전기),서울특별시 송파구 잠실동(하이브리드(LPG+전기)),서울특별시 송파구 잠실동(하이브리드(경유+전기)),서울특별시 송파구 잠실동(하이브리드(휘발유+전기)),서울특별시 송파구 잠실동(휘발유),서울특별시 송파구 잠실동(휘발유(무연)),서울특별시 송파구 잠실동(휘발유(유연)),서울특별시 송파구 신천동(CNG),서울특별시 송파구 신천동(경유),서울특별시 송파구 신천동(기타연료),서울특별시 송파구 신천동(엘피지),서울특별시 송파구 신천동(전기),서울특별시 송파구 신천동(하이브리드(LPG+전기)),서울특별시 송파구 신천동(하이브리드(경유+전기)),서울특별시 송파구 신천동(하이브리드(휘발유+전기)),서울특별시 송파구 신천동(휘발유),서울특별시 송파구 신천동(휘발유(무연)),서울특별시 송파구 신천동(휘발유(유연)),서울특별시 송파구 풍납동(CNG),서울특별시 송파구 풍납동(경유),서울특별시 송파구 풍납동(기타연료),서울특별시 송파구 풍납동(엘피지),서울특별시 송파구 풍납동(전기),서울특별시 송파구 풍납동(하이브리드(LPG+전기)),서울특별시 송파구 풍납동(하이브리드(휘발유+전기)),서울특별시 송파구 풍납동(휘발유),서울특별시 송파구 풍납동(휘발유(무연)),서울특별시 송파구 풍납동(휘발유(유연)),서울특별시 송파구 송파동(CNG),서울특별시 송파구 송파동(경유),서울특별시 송파구 송파동(기타연료),서울특별시 송파구 송파동(엘피지),서울특별시 송파구 송파동(전기),서울특별시 송파구 송파동(하이브리드(LPG+전기)),서울특별시 송파구 송파동(하이브리드(휘발유+전기)),서울특별시 송파구 송파동(휘발유),서울특별시 송파구 송파동(휘발유(무연)),서울특별시 송파구 송파동(휘발유(유연)),서울특별시 송파구 석촌동(CNG),서울특별시 송파구 석촌동(경유),서울특별시 송파구 석촌동(기타연료),서울특별시 송파구 석촌동(엘피지),서울특별시 송파구 석촌동(전기),서울특별시 송파구 석촌동(하이브리드(LPG+전기)),서울특별시 송파구 석촌동(하이브리드(휘발유+전기)),서울특별시 송파구 석촌동(휘발유),서울특별시 송파구 석촌동(휘발유(무연)),서울특별시 송파구 석촌동(휘발유(유연)),서울특별시 송파구 삼전동(CNG),서울특별시 송파구 삼전동(경유),서울특별시 송파구 삼전동(기타연료),서울특별시 송파구 삼전동(엘피지),서울특별시 송파구 삼전동(전기),서울특별시 송파구 삼전동(하이브리드(LPG+전기)),서울특별시 송파구 삼전동(하이브리드(휘발유+전기)),서울특별시 송파구 삼전동(휘발유),서울특별시 송파구 삼전동(휘발유(무연)),서울특별시 송파구 삼전동(휘발유(유연)),서울특별시 송파구 가락동(CNG),서울특별시 송파구 가락동(경유),서울특별시 송파구 가락동(기타연료),서울특별시 송파구 가락동(수소),서울특별시 송파구 가락동(엘피지),서울특별시 송파구 가락동(전기),서울특별시 송파구 가락동(하이브리드(LPG+전기)),서울특별시 송파구 가락동(하이브리드(휘발유+전기)),서울특별시 송파구 가락동(휘발유),서울특별시 송파구 가락동(휘발유(무연)),서울특별시 송파구 가락동(휘발유(유연)),서울특별시 송파구 문정동(CNG),서울특별시 송파구 문정동(경유),서울특별시 송파구 문정동(기타연료),서울특별시 송파구 문정동(수소),서울특별시 송파구 문정동(엘피지),서울특별시 송파구 문정동(전기),서울특별시 송파구 문정동(하이브리드(LPG+전기)),서울특별시 송파구 문정동(하이브리드(경유+전기)),서울특별시 송파구 문정동(하이브리드(휘발유+전기)),서울특별시 송파구 문정동(휘발유),서울특별시 송파구 문정동(휘발유(무연)),서울특별시 송파구 문정동(휘발유(유연)),서울특별시 송파구 장지동(CNG),서울특별시 송파구 장지동(경유),서울특별시 송파구 장지동(기타연료),서울특별시 송파구 장지동(엘피지),서울특별시 송파구 장지동(전기),서울특별시 송파구 장지동(하이브리드(CNG+전기)),서울특별시 송파구 장지동(하이브리드(LPG+전기)),서울특별시 송파구 장지동(하이브리드(휘발유+전기)),서울특별시 송파구 장지동(휘발유),서울특별시 송파구 장지동(휘발유(무연)),서울특별시 송파구 장지동(휘발유(유연)),서울특별시 송파구 방이동(CNG),서울특별시 송파구 방이동(경유),서울특별시 송파구 방이동(기타연료),서울특별시 송파구 방이동(수소),서울특별시 송파구 방이동(엘피지),서울특별시 송파구 방이동(전기),서울특별시 송파구 방이동(하이브리드(LPG+전기)),서울특별시 송파구 방이동(하이브리드(휘발유+전기)),서울특별시 송파구 방이동(휘발유),서울특별시 송파구 방이동(휘발유(무연)),서울특별시 송파구 방이동(휘발유(유연)),서울특별시 송파구 오금동(CNG),서울특별시 송파구 오금동(경유),서울특별시 송파구 오금동(기타연료),서울특별시 송파구 오금동(엘피지),서울특별시 송파구 오금동(전기),서울특별시 송파구 오금동(하이브리드(LPG+전기)),서울특별시 송파구 오금동(하이브리드(휘발유+전기)),서울특별시 송파구 오금동(휘발유),서울특별시 송파구 오금동(휘발유(무연)),서울특별시 송파구 오금동(휘발유(유연)),서울특별시 송파구 거여동(CNG),서울특별시 송파구 거여동(경유),서울특별시 송파구 거여동(기타연료),서울특별시 송파구 거여동(엘피지),서울특별시 송파구 거여동(전기),서울특별시 송파구 거여동(하이브리드(LPG+전기)),서울특별시 송파구 거여동(하이브리드(경유+전기)),서울특별시 송파구 거여동(하이브리드(휘발유+전기)),서울특별시 송파구 거여동(휘발유),서울특별시 송파구 거여동(휘발유(무연)),서울특별시 송파구 거여동(휘발유(유연)),서울특별시 송파구 마천동(CNG),서울특별시 송파구 마천동(경유),서울특별시 송파구 마천동(기타연료),서울특별시 송파구 마천동(엘피지),서울특별시 송파구 마천동(전기),서울특별시 송파구 마천동(하이브리드(LPG+전기)),서울특별시 송파구 마천동(하이브리드(경유+전기)),서울특별시 송파구 마천동(하이브리드(휘발유+전기)),서울특별시 송파구 마천동(휘발유),서울특별시 송파구 마천동(휘발유(무연)),서울특별시 송파구 마천동(휘발유(유연))
2009,승용,비사업용,2,5187,3,,1833,,16,,17,10945,13429,1,3,2413,,779,,13,,11,4798,6106,,1,2043,,992,,12,2,2839,4737,,1,2115,1,939,,7,5,3289,5180,,1,1581,,766,,3,3,2111,3544,,,1383,,675,,3,2,1962,3496,,4,4291,,,1609,,12,7,6251,9553,2,,2830,,,1149,,6,,6,4911,6950,,3,670,,483,,,1,2,943,1505,,2,3033,1,,1141,,10,9,5723,7749,1,,1832,,909,,3,2,2807,4367,,1,2095,1,1112,,8,,1,2134,3940,,,1630,,972,,2,,3,1583,3203,
2009,승용,사업용,,8,,,235,,,,,15,2,,,10,,212,,,,,4,2,,,10,,392,,,,62,10,,,8,,148,,,,,1,,,7,,279,,,,27,11,,,23,,349,,,,15,6,,26,11,,,349,,,,23,9,,,,,,120,,,,,,,,,,,427,,,,,,,,,9,,,544,,,,66,7,,1,,,811,,,,2,1,,,,,263,,,,,,,,,,,455,,,,,2,3,
2009,승합,비사업용,,644,3,,565,,,,,4,14,,,286,,213,,,,,,5,,,376,,306,,,,2,1,,,352,,326,,,,2,7,,1,384,,307,,,,2,8,,,300,,237,,,,2,3,,,806,,,576,,,,,9,,,457,3,,417,,,,,1,7,,,144,1,116,,,,,,3,,,623,,,345,,,,2,19,,,406,,317,,,,2,6,,,475,,353,,,,,3,5,,,504,,385,,,,,2,4,
2009,승합,사업용,,155,,,,,,,,,,,,12,,,,,,,,,,,27,,,,,,2,,,,,,,,,,,,,,32,,,,,,,,,,34,,1,,,,,,,,40,,,,,,,,,,,1,,,,,,,,,,,612,103,,,,,,,,,,,77,,,,,,,,,,106,83,,,,,,,,,76,8,,,,,,,,,,,7,,,,,,,,,
2009,특수,비사업용,,1,,,1,,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,
2009,특수,사업용,,,,,,,,,,,,,,2,,,,,,,,,,,26,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,5,,,,,,,,,,,,2,,,,,,,,,,,19,,,,,,,,,,,18,,,,,,,,,,10,,,,,,,,,,,10,,,,,,,,,
2009,화물,비사업용,,1614,2,,303,,,,,9,10,,13,823,28,104,,,,,11,3,,,989,,263,,,,6,6,,3,1220,,270,,,,8,4,,,1117,3,217,,,,4,3,,5,1015,,237,,,,3,5,,16,3407,4,,578,,,,8,10,,10,1906,3,,326,,,,,3,4,,,436,,112,,,,,1,1,,,1765,3,,307,,,,4,5,,,1428,4,331,,,,7,1,,,1219,2,327,,,,,2,3,,,1420,7,336,,,,,2,4,
2009,화물,사업용,,58,,,29,,,,,,,,,322,8,119,,,,,,,,,123,21,32,,,,,1,,,693,,33,,,,,,,,83,,17,,,,,,,,59,,22,,,,,,,,304,8,,53,,,,,,,,613,1,,62,,,,,,,,,49,1,13,,,,,,,,,229,4,,51,,,,,,,,109,8,31,,,,,,,,150,,24,,,,,,,,,213,,54,,,,,,,
2010,승용,비사업용,2,5331,2,,1759,,19,,36,11896,13002,,3,2486,,738,,19,,14,5156,5938,,1,2078,,1015,,11,2,3020,4529,,1,2192,,915,,12,8,3617,4970,,1,1572,,762,,4,5,2292,3291,,,1441,,679,,7,4,2115,3368,,3,4382,,,1631,,18,17,6850,9250,2,1,2961,,,1131,1,8,,13,5344,6727,,3,751,,490,,,8,6,1109,1562,,2,3117,1,,1144,,16,13,6144,7352,2,,1922,,928,,8,1,3009,4251,,1,2149,1,1100,,8,,4,2239,3844,,,1658,,1001,,4,,3,1709,3122,
2010,승용,사업용,,7,,,234,,,,,16,4,,,34,,237,,,,,32,3,,,8,,457,,,,43,23,,,8,,210,,,,36,16,,,6,,369,,,,46,14,,,25,,266,,,,12,5,,80,5,,,303,,,,15,2,,,11,,,154,,,,,11,4,,1,1,,524,,,,,,,,,9,,,534,,,,42,8,,1,,,827,,,,,1,,,,,264,,,,,,,,,,,458,,,,,,,
2010,승합,비사업용,,647,4,,479,,,,,3,11,,,288,,172,,,,,,6,,,365,,289,,,,1,2,,,351,,280,,,,3,7,,,379,,257,,,,2,5,,,265,,219,,,,2,4,,,834,1,,523,,,,,7,,,447,4,,360,,,,,2,5,,,140,1,115,,,,,1,3,,1,565,,,328,,,,3,19,,,367,,289,,,,2,3,,,462,1,325,,,,,2,5,,,504,,343,,,,,2,2,
2010,승합,사업용,,157,,,,,,,,,,,,19,,,,,,,,,,,31,,1,,,,2,,,,5,,,,,,,,,,40,,2,,,,,,,,31,,,,,,,,,,45,,,,,,,,,,,2,,,,,,,,,,,621,76,,,,,,,,,,,83,,,2,,,,,,,115,68,,,,,,,,,104,,,,,,,,,,,,8,,,,,,,,,
2010,특수,비사업용,,2,3,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,12,1,,,,,,,,
2010,특수,사업용,,1,,,,,,,,,,,,4,,,,,,,,,,,28,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,12,,,,,,,,,,,,4,,,,,,,,,,,20,,,,,,,,,,,20,,,,,,,,,,13,,,,,,,,,,,11,,,,,,,,,
2010,화물,비사업용,,1541,4,,317,,,,,10,10,,12,759,9,101,,,,,12,3,,,943,1,230,,,,7,5,,4,1190,2,264,,,,9,3,,,1076,5,217,,,,4,2,,5,948,,238,,,,3,3,,17,3387,5,,568,,,,9,9,,10,1930,4,,342,,,,,2,3,,1,421,,102,,,,,1,,,,1755,8,,309,,,,6,4,,,1502,9,314,,,,6,1,,,1166,1,321,,,,,2,3,,,1381,6,355,,,,,2,2,
