사용본거지법정동명,연료,200912 승용 비사업용,200912 승용 사업용,200912 승합 비사업용,200912 승합 사업용,200912 특수 비사업용,200912 특수 사업용,200912 화물 비사업용,200912 화물 사업용,201012 승용 비사업용,201012 승용 사업용,201012 승합 비사업용,201012 승합 사업용,201012 특수 비사업용,201012 특수 사업용,201012 화물 비사업용,201012 화물 사업용,201112 승용 비사업용,201112 승용 사업용,201112 승합 비사업용,201112 승합 사업용,201112 특수 비사업용,201112 특수 사업용,201112 화물 비사업용,201112 화물 사업용,201212 승용 비사업용,201212 승용 사업용,201212 승합 비사업용,201212 승합 사업용,201212 특수 비사업용,201212 특수 사업용,201212 화물 비사업용,201212 화물 사업용,201312 승용 비사업용,201312 승용 사업용,201312 승합 비사업용,201312 승합 사업용,201312 특수 비사업용,201312 특수 사업용,201312 화물 비사업용,201312 화물 사업용,201412 승용 비사업용,201412 승용 사업용,201412 승합 비사업용,201412 승합 사업용,201412 특수 비사업용,201412 특수 사업용,201412 화물 비사업용,201412 화물 사업용,201512 승용 비사업용,201512 승용 사업용,201512 승합 비사업용,201512 승합 사업용,201512 특수 비사업용,201512 특수 사업용,201512 화물 비사업용,201512 화물 사업용,201612 승용 비사업용,201612 승용 사업용,201612 승합 비사업용,201612 승합 사업용,201612 특수 비사업용,201612 특수 사업용,201612 화물 비사업용,201612 화물 사업용,201712 승용 비사업용,201712 승용 사업용,201712 승합 비사업용,201712 승합 사업용,201712 특수 비사업용,201712 특수 사업용,201712 화물 비사업용,201712 화물 사업용,201812 승용 비사업용,201812 승용 사업용,201812 승합 비사업용,201812 승합 사업용,201812 특수 비사업용,201812 특수 사업용,201812 화물 비사업용,201812 화물 사업용
서울특별시 영등포구 영등포동,CNG,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,1,,,,,,,,1,
서울특별시 영등포구 영등포동,경유,777,2,133,3,,,353,37,802,,131,,,,350,37,804,,132,,,,330,36,848,,142,,1,1,336,44,879,,153,,1,1,333,45,921,,152,,1,1,341,41,994,,137,,1,1,316,36,1052,,142,,1,1,315,33,1090,,149,,1,2,326,34,1176,,132,,2,4,339,34
서울특별시 영등포구 영등포동,기타연료,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,1,,,,1,1,,,2,,,,1,1,,,3,,,,,1,,,2,,,,,1,,,3,,,,,1,,,3,,,,,1
서울특별시 영등포구 영등포동,엘피지,330,110,87,,,,62,11,325,41,79,,,,63,13,321,40,62,,,,69,9,312,38,68,,,,67,10,302,40,64,,,,59,9,280,35,46,,,,53,9,259,35,37,,,,43,11,254,34,32,,,,46,13,253,38,23,,,,50,11,220,40,17,,,,38,10
서울특별시 영등포구 영등포동,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,
서울특별시 영등포구 영등포동,하이브리드(LPG+전기),2,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,
서울특별시 영등포구 영등포동,하이브리드(휘발유+전기),1,,,,,,,,1,,,,,,,,7,,,,,,,,16,,,,,,,,22,,,,,,,,27,,,,,,,,42,,,,,,,,55,,,,,,,,82,,,,,,,,96,,,,,,,
서울특별시 영등포구 영등포동,휘발유,820,1,,,,,2,,963,,,,,,2,,991,,,,,,1,,979,,,,,,1,,968,,,,,,1,,916,,,,,,1,,884,,,,,,1,,911,,,,,,1,,908,,,,,,,,910,,,,,,1,
서울특별시 영등포구 영등포동,휘발유(무연),1434,6,3,,,,,,1399,,2,,,,1,,1325,,3,,,,1,,1347,,2,,,,1,,1321,,2,,,,1,,1285,,2,,,,1,,1301,,4,,,,1,,1272,,3,,,,1,,1246,,4,,,,1,,1243,,3,,,,,
서울특별시 영등포구 영등포동,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,
