연도,연료,용도,승용,승합,화물,특수
2009,CNG,비사업용,2,2,15,0
2009,CNG,사업용,0,511,0,0
2009,경유,비사업용,16533,4160,10337,23
2009,경유,사업용,13,192,1253,49
2009,기타연료,비사업용,3,3,14,1
2009,기타연료,사업용,0,0,1,1
2009,엘피지,비사업용,9500,3226,2354,1
2009,엘피지,사업용,3737,1,375,1
2009,태양열,비사업용,1,0,0,0
2009,하이브리드(LPG+전기),비사업용,49,0,0,0
2009,하이브리드(LPG+전기),사업용,2,0,0,0
2009,하이브리드(휘발유+전기),비사업용,40,0,0,0
2009,휘발유,비사업용,19516,23,30,0
2009,휘발유,사업용,9,0,0,0
2009,휘발유(무연),비사업용,38604,76,49,0
2009,휘발유(무연),사업용,2,0,1,0
2009,휘발유(유연),비사업용,2,0,0,0
2010,CNG,비사업용,5,2,18,0
2010,CNG,사업용,0,586,0,0
2010,경유,비사업용,17999,4233,10290,28
2010,경유,사업용,14,104,1255,51
2010,기타연료,비사업용,3,2,18,1
2010,기타연료,사업용,0,0,2,0
2010,등유,비사업용,0,1,0,0
2010,엘피지,비사업용,10056,2986,2386,1
2010,엘피지,사업용,3722,1,395,0
2010,태양열,비사업용,1,0,0,0
2010,하이브리드(LPG+전기),비사업용,88,0,0,0
2010,하이브리드(휘발유+전기),비사업용,62,0,0,0
2010,휘발유,비사업용,22456,19,29,0
2010,휘발유,사업용,17,0,0,0
2010,휘발유(무연),비사업용,39053,67,42,0
2010,휘발유(무연),사업용,6,0,0,0
2010,휘발유(유연),비사업용,2,0,0,0
2011,CNG,비사업용,7,2,16,0
2011,CNG,사업용,15,624,0,0
2011,경유,비사업용,19063,4201,10344,32
2011,경유,사업용,13,101,1250,63
2011,기타연료,비사업용,4,4,24,0
2011,기타연료,사업용,0,0,5,0
2011,엘피지,비사업용,10093,2735,2176,0
2011,엘피지,사업용,3807,1,371,0
2011,전기,비사업용,1,0,0,0
2011,태양열,비사업용,1,0,0,0
2011,하이브리드(LPG+전기),비사업용,85,0,0,0
2011,하이브리드(휘발유+전기),비사업용,156,0,0,0
2011,휘발유,비사업용,24007,19,31,0
2011,휘발유,사업용,17,0,0,0
2011,휘발유(무연),비사업용,39200,61,33,0
2011,휘발유(무연),사업용,7,0,0,0
2011,휘발유(유연),비사업용,2,0,0,0
2012,CNG,비사업용,10,2,16,0
2012,CNG,사업용,20,639,0,0
2012,경유,비사업용,20742,4265,10480,30
2012,경유,사업용,18,41,1247,96
2012,기타연료,비사업용,3,5,28,0
2012,기타연료,사업용,0,0,4,0
2012,엘피지,비사업용,10167,2454,1993,0
2012,엘피지,사업용,3972,1,363,0
2012,전기,비사업용,1,0,0,0
2012,태양열,비사업용,1,0,0,0
2012,하이브리드(LPG+전기),비사업용,89,0,0,0
2012,하이브리드(휘발유+전기),비사업용,325,0,0,0
