연료별,용도별,승    용,승    합,화    물,특    수,계
CNG,비사업용,19,2,11,0,32
CNG,사업용,0,360,0,0,360
경유,비사업용,"26,625","3,385","11,385",94,"41,489"
경유,사업용,227,202,"2,331",318,"3,078"
기타연료,비사업용,2,43,85,5,135
기타연료,사업용,0,0,17,0,17
수소,비사업용,2,0,0,0,2
엘피지,비사업용,"7,065",754,"1,109",0,"8,928"
엘피지,사업용,"5,371",5,352,0,"5,728"
전기,비사업용,151,0,0,0,151
전기,사업용,3,0,0,0,3
하이브리드(LPG+전기),비사업용,62,0,0,0,62
하이브리드(경유+전기),비사업용,1,0,0,0,1
하이브리드(휘발유+전기),비사업용,"1,739",0,0,0,"1,739"
하이브리드(휘발유+전기),사업용,7,0,0,0,7
휘발유,비사업용,"19,644",11,33,0,"19,688"
휘발유,사업용,24,0,0,0,24
휘발유(무연),비사업용,"31,357",18,31,1,"31,407"
휘발유(무연),사업용,416,0,0,0,416
휘발유(유연),비사업용,28,0,0,0,28
